circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
1,1000,0000,200000,200000,1.0,boundary_analytic,1
1,0010,0000,200000,200000,1.0,boundary_analytic,1
1,0010,0011,200000,200000,1.0,boundary_analytic,1
2,1000,0000,200000,200000,1.0,boundary_analytic,1
2,0010,0000,200000,200000,1.0,boundary_analytic,1
2,0010,0011,200000,200000,1.0,boundary_analytic,1
2,0011,0111,200000,41596,0.20798,boundary_analytic,1
3,1000,0000,200000,200000,1.0,boundary_analytic,1
3,0010,0000,200000,200000,1.0,boundary_analytic,1
3,0010,0011,200000,200000,1.0,boundary_analytic,1
3,1100,1101,200000,182326,0.91163,boundary_analytic,1
4,1000,0000,200000,200000,1.0,boundary_analytic,1
4,0010,0000,200000,200000,1.0,boundary_analytic,1
4,0010,0011,200000,200000,1.0,boundary_analytic,1
4,0011,1011,200000,152479,0.762395,boundary_analytic,1
5,1000,0000,200000,200000,1.0,boundary_analytic,1
5,0010,0000,200000,200000,1.0,boundary_analytic,1
5,0010,0011,200000,200000,1.0,boundary_analytic,1
5,1100,1101,200000,177644,0.88822,boundary_analytic,1
5,1000,1001,200000,173389,0.866945,boundary_analytic,1
6,1000,0000,200000,200000,1.0,boundary_analytic,1
6,0010,0000,200000,200000,1.0,boundary_analytic,1
6,0010,0011,200000,200000,1.0,boundary_analytic,1
6,0011,0111,200000,133241,0.666205,boundary_analytic,1
7,1000,0000,200000,200000,1.0,boundary_analytic,1
7,0010,0000,200000,200000,1.0,boundary_analytic,1
7,0010,0011,200000,200000,1.0,boundary_analytic,1
7,1100,1110,200000,197361,0.986805,boundary_analytic,1
8,1000,0000,200000,200000,1.0,boundary_analytic,1
8,0010,0000,200000,200000,1.0,boundary_analytic,1
8,0010,0011,200000,200000,1.0,boundary_analytic,1
8,0011,1011,200000,180109,0.900545,boundary_analytic,1
9,1000,0000,200000,200000,1.0,boundary_analytic,1
9,0010,0000,200000,200000,1.0,boundary_analytic,1
9,0010,0011,200000,200000,1.0,boundary_analytic,1
9,1100,1110,200000,196625,0.983125,boundary_analytic,1
9,1000,1010,200000,195957,0.979785,boundary_analytic,1
10,1000,0000,200000,200000,1.0,boundary_analytic,1
10,0010,0000,200000,200000,1.0,boundary_analytic,1
10,0010,0011,200000,200000,1.0,boundary_analytic,1
10,0011,0111,200000,41596,0.20798,boundary_analytic,1
10,1100,1101,200000,182326,0.91163,boundary_analytic,1
11,1000,0000,200000,200000,1.0,boundary_analytic,1
11,0010,0000,200000,200000,1.0,boundary_analytic,1
