circuit_idx,n_samples,n_phase_types,dominant_type_freq_pct,canonical_hier_freq_pct,non_canon_stable_freq_pct,n_phase_types_canon,dominant_n_stable,dominant_n_semi,dominant_n_unstable
1,100000,1,100.0000,0.0000,100.0000,0,6,3,7
2,100000,5,46.7920,20.8300,79.1700,1,5,5,7
3,100000,4,79.6600,0.0000,100.0000,0,5,4,7
4,100000,3,76.4020,76.4020,23.5980,1,4,5,5
5,100000,8,53.6260,0.0000,100.0000,0,4,5,8
6,100000,10,66.9870,66.9870,33.0130,1,4,7,6
7,100000,3,98.0140,0.0000,100.0000,0,5,4,7
8,100000,3,90.1640,90.1640,9.8360,1,4,5,5
9,100000,4,97.7890,0.0000,100.0000,0,4,5,7
10,100000,28,38.2310,1.7600,98.2400,2,4,6,8
11,100000,8,40.5240,81.0270,18.9730,4,4,6,6
12,100000,12,61.3950,6.5620,93.4380,2,3,6,5
13,100000,42,16.7480,2.3300,97.6700,2,3,7,9
14,100000,11,53.8520,0.0000,100.0000,0,4,5,8
15,100000,31,40.8940,8.5340,91.4660,3,2,7,7
16,100000,11,72.9190,86.7670,13.2330,3,4,7,6
17,100000,41,53.6130,5.8970,94.1030,2,3,7,7
18,100000,14,50.6510,92.0570,7.9430,6,4,7,5
19,100000,56,24.1470,7.5460,92.4540,2,3,8,8
20,100000,10,54.1150,0.2620,99.7380,1,4,6,7
21,100000,8,82.3920,0.0000,100.0000,0,5,5,7
22,100000,6,75.2280,1.0670,98.9330,1,3,6,5
23,100000,18,48.7960,0.0000,100.0000,0,4,6,8
24,100000,17,65.7240,0.8890,99.1110,1,3,8,5
25,100000,8,47.9250,91.9810,8.0190,4,4,6,6
26,100000,12,72.3830,8.0100,91.9900,2,3,6,5
27,100000,3,98.8060,98.8060,1.1940,1,4,5,5
28,100000,26,28.7990,9.9730,90.0270,3,3,6,8
29,100000,15,60.2300,96.6870,3.3130,6,4,7,5
30,100000,9,83.5160,1.1360,98.8640,1,3,6,4
31,100000,15,41.0330,0.3250,99.6750,1,3,7,7
32,100000,12,80.2410,0.0000,100.0000,0,4,6,7
33,100000,10,74.6810,1.3100,98.6900,1,2,7,5
34,100000,27,45.7130,0.0000,100.0000,0,4,7,9
35,100000,29,65.0630,1.1820,98.8180,1,2,9,5
36,100000,5,96.8600,0.0000,100.0000,0,4,5,7
37,100000,14,83.6850,1.5800,98.4200,1,2,7,3
38,100000,42,42.3450,7.0110,92.9890,8,3,7,7
39,100000,125,10.0240,0.1100,99.8900,2,3,7,10
40,100000,58,21.6900,9.1030,90.8970,10,2,8,8
41,100000,42,41.0250,0.3860,99.6140,3,2,7,7
42,100000,76,38.5260,7.6920,92.3080,6,3,8,8
43,100000,19,55.9470,96.8130,3.1870,11,4,7,5
44,100000,61,43.2660,8.2790,91.7210,12,3,7,6
45,100000,103,26.5350,9.6560,90.3440,6,2,9,8
46,100000,121,18.8640,0.3530,99.6470,2,3,7,9
47,100000,117,35.2730,10.1230,89.8770,16,2,9,7
48,100000,43,40.1390,0.0150,99.9850,2,4,8,8
49,100000,15,42.9470,1.0250,98.9750,4,3,7,6
50,100000,18,63.8260,0.0950,99.9050,2,3,7,5
51,100000,84,13.9860,0.0250,99.9750,2,3,8,9
52,100000,24,47.8860,0.0000,100.0000,0,4,6,8
53,100000,62,37.4950,0.1090,99.8910,3,2,8,7
54,100000,28,72.7180,1.2410,98.7590,3,3,8,5
55,100000,86,55.5430,0.0770,99.9230,2,3,9,5
56,100000,30,50.1010,1.2990,98.7010,6,3,8,4
57,100000,132,22.1220,0.1100,99.8900,2,3,9,7
58,100000,39,49.5660,8.1350,91.8650,8,3,7,7
59,100000,7,52.3750,99.0580,0.9420,4,4,6,6
60,100000,9,79.8020,8.6830,91.3170,2,3,6,5
61,100000,78,14.7640,10.4820,89.5180,10,2,8,8
62,100000,36,28.7200,0.4920,99.5080,3,3,6,8
63,100000,31,32.9640,11.2630,88.7370,3,2,7,7
64,100000,19,66.0430,98.6450,1.3550,11,4,7,5
65,100000,60,51.3530,8.5880,91.4120,12,3,7,6
66,100000,11,66.0970,99.6210,0.3790,6,4,7,5
67,100000,93,22.2660,10.8010,89.1990,16,3,8,8
68,100000,22,47.7670,1.2580,98.7420,4,3,7,5
69,100000,24,70.8680,0.1190,99.8810,2,3,7,4
70,100000,7,83.3760,1.3360,98.6640,1,3,6,4
71,100000,71,23.3410,0.1280,99.8720,3,3,7,7
72,100000,27,59.3200,1.2900,98.7100,6,3,8,4
73,100000,72,32.2460,0.0260,99.9740,2,3,8,8
74,100000,22,39.8330,1.4030,98.5970,4,2,8,6
75,100000,29,62.5310,0.0860,99.9140,2,2,8,5
76,100000,104,12.4560,0.0360,99.9640,2,3,9,9
77,100000,33,41.3580,0.0000,100.0000,0,4,7,9
78,100000,69,35.2150,0.1540,99.8460,3,2,9,6
79,100000,37,71.6410,1.4830,98.5170,3,2,9,5
80,100000,118,47.3250,0.0990,99.9010,2,2,9,6
81,100000,46,50.0060,1.6930,98.3070,6,2,9,4
82,100000,169,31.3010,0.1150,99.8850,2,2,11,7
83,100000,14,49.2060,0.0020,99.9980,1,3,7,7
84,100000,13,87.5190,0.0000,100.0000,0,4,6,7
85,100000,9,74.5790,0.0050,99.9950,1,2,7,5
86,100000,29,45.1180,0.0000,100.0000,0,4,7,9
87,100000,26,65.4830,0.0120,99.9880,1,2,9,5
88,100000,37,44.5610,1.5820,98.4180,4,2,8,4
