circuit_idx,n_samples,n_phase_types,dominant_type_freq_pct,canonical_hier_freq_pct,n_phase_types_canon
1,100000,1,100.0000,0.0000,0
2,100000,6,30.4470,20.8300,1
3,100000,4,79.6600,0.0000,0
4,100000,3,76.4020,76.4020,1
5,100000,10,53.6260,0.0000,0
6,100000,13,66.9870,66.9870,1
7,100000,3,98.0140,0.0000,0
8,100000,5,84.2310,90.1640,2
9,100000,6,92.6810,0.0000,0
10,100000,40,20.0960,1.7600,2
11,100000,9,40.5240,81.0270,4
12,100000,12,61.3950,6.5620,2
13,100000,68,13.8310,2.3300,3
14,100000,14,53.8520,0.0000,0
15,100000,42,40.8940,8.5340,5
16,100000,26,72.9190,86.7670,6
17,100000,64,53.6130,5.8970,2
18,100000,22,50.6050,92.0570,10
19,100000,88,24.1470,7.5460,2
20,100000,14,33.7470,0.2620,1
21,100000,11,82.3920,0.0000,0
22,100000,6,75.2280,1.0670,1
23,100000,31,48.2090,0.0000,0
24,100000,27,65.7240,0.8890,1
25,100000,17,44.9020,91.9810,8
26,100000,17,72.3830,8.0100,3
27,100000,6,84.0910,98.8060,3
28,100000,52,25.6790,9.9730,6
29,100000,31,60.1710,96.6870,9
30,100000,13,83.5160,1.1360,2
31,100000,27,23.8500,0.3250,1
32,100000,20,79.8940,0.0000,0
33,100000,14,70.9180,1.3100,1
34,100000,48,43.5770,0.0000,0
35,100000,52,61.6850,1.1820,1
36,100000,9,91.9480,0.0000,0
37,100000,23,83.6840,1.5800,2
38,100000,59,29.2640,7.0110,8
39,100000,205,10.0240,0.1100,2
40,100000,96,21.6900,9.1030,18
41,100000,56,41.0250,0.3860,3
42,100000,173,38.5260,7.6920,11
43,100000,43,55.9460,96.8130,22
44,100000,111,40.6120,8.2790,19
45,100000,221,26.5350,9.6560,13
46,100000,195,18.8640,0.3530,2
47,100000,194,27.4000,10.1230,27
48,100000,97,18.9530,0.0150,2
49,100000,20,42.9470,1.0250,4
50,100000,24,63.8260,0.0950,2
51,100000,179,10.5580,0.0250,2
52,100000,43,47.3420,0.0000,0
53,100000,100,37.0630,0.1090,3
54,100000,62,72.0140,1.2410,6
55,100000,139,55.5430,0.0770,2
56,100000,46,50.1010,1.2990,9
57,100000,195,22.1220,0.1100,2
58,100000,86,34.2180,8.1350,13
59,100000,18,44.5630,99.0580,11
60,100000,17,74.4560,8.6830,5
61,100000,199,13.1140,10.4820,21
62,100000,73,25.5540,0.4920,4
63,100000,75,25.0260,11.2630,12
64,100000,57,66.0400,98.6450,22
65,100000,132,48.1120,8.5880,17
66,100000,31,61.5840,99.6210,18
67,100000,188,19.1650,10.8010,22
68,100000,43,47.7670,1.2580,8
69,100000,40,70.8680,0.1190,3
70,100000,13,83.3390,1.3360,3
71,100000,117,23.3410,0.1280,4
72,100000,56,59.3200,1.2900,8
73,100000,155,18.8030,0.0260,2
74,100000,38,37.7390,1.4030,4
75,100000,47,62.2500,0.0860,2
76,100000,243,12.1640,0.0360,2
77,100000,62,39.5670,0.0000,0
78,100000,131,35.2150,0.1540,3
79,100000,96,67.9640,1.4830,8
80,100000,226,47.3130,0.0990,2
81,100000,89,47.3190,1.6930,12
82,100000,312,29.8320,0.1150,2
83,100000,32,26.9540,0.0020,1
84,100000,22,83.1690,0.0000,0
85,100000,15,70.7450,0.0050,1
86,100000,68,42.9170,0.0000,0
87,100000,66,62.0100,0.0120,1
88,100000,65,44.5610,1.5820,8
89,100000,64,73.3550,0.1090,3
90,100000,21,85.4490,1.7020,3
91,100000,180,40.4340,0.1730,3
92,100000,95,55.7990,1.5850,11
93,100000,26,83.6410,0.0180,2
94,100000,286,17.3140,0.3940,8
95,100000,266,36.7070,8.6060,39
96,100000,636,15.3820,0.4400,11
97,100000,305,29.6460,10.6830,47
98,100000,393,21.6970,0.4330,17
99,100000,131,31.5350,0.0900,7
100,100000,459,7.8390,0.0010,1
101,100000,226,21.4180,0.1230,8
102,100000,128,35.9040,0.0060,2
103,100000,344,41.3100,0.1100,6
104,100000,89,55.0270,1.3320,21
105,100000,211,42.5070,0.1330,14
106,100000,484,24.4940,0.1320,8
107,100000,405,21.5120,0.0060,2
108,100000,446,24.9230,0.1560,16
109,100000,86,35.3390,8.8220,17
110,100000,478,9.4830,0.4440,12
111,100000,178,13.6440,11.0860,32
112,100000,94,24.9790,0.4890,6
113,100000,252,42.8380,8.6960,34
114,100000,54,67.1420,99.8520,35
115,100000,131,49.1480,8.9190,31
116,100000,390,18.1170,11.3120,42
117,100000,337,15.0050,0.4900,14
118,100000,258,19.3610,11.1210,38
119,100000,209,34.8010,0.1020,9
120,100000,39,47.8150,1.3380,10
121,100000,43,71.1560,0.1260,5
122,100000,409,13.0390,0.1450,17
123,100000,159,23.3180,0.0070,2
124,100000,155,23.5070,0.1510,8
125,100000,92,64.5950,1.3680,15
126,100000,206,50.2250,0.1160,9
127,100000,55,60.4320,1.3960,15
128,100000,353,17.5200,0.1540,14
129,100000,209,25.9920,0.1120,6
130,100000,628,10.2450,0.0010,1
131,100000,293,18.9080,0.1580,8
132,100000,160,35.0300,0.0040,2
133,100000,495,33.9610,0.1330,9
134,100000,144,51.4310,1.6580,25
135,100000,347,36.1510,0.1590,16
136,100000,632,31.6690,0.1570,10
137,100000,659,23.4730,0.0040,2
138,100000,555,23.7050,0.1710,14
139,100000,149,17.8560,0.0010,1
140,100000,40,40.4810,0.0090,3
141,100000,44,64.6370,0.0010,1
142,100000,268,10.2680,0.0000,0
143,100000,88,42.3970,0.0000,0
144,100000,138,35.6860,0.0020,1
145,100000,102,67.8380,0.0070,2
146,100000,202,52.2560,0.0010,1
147,100000,100,47.3830,0.0050,2
148,100000,408,29.9770,0.0010,1
149,100000,308,30.4460,0.1370,11
150,100000,65,45.5840,1.6570,10
151,100000,66,75.0840,0.1510,5
152,100000,483,21.1400,0.1770,11
153,100000,232,40.1570,0.0090,3
154,100000,187,41.8260,0.1790,5
155,100000,128,61.2320,1.6790,19
156,100000,317,42.5180,0.1520,13
157,100000,97,57.2960,1.7640,17
158,100000,496,27.0290,0.1790,12
159,100000,69,47.5830,0.0060,3
160,100000,64,76.1700,0.0020,1
161,100000,27,85.6280,0.0060,1
162,100000,214,40.0320,0.0010,1
163,100000,107,55.6930,0.0120,7
164,100000,794,19.5620,0.4910,32
165,100000,595,16.5400,0.0100,5
166,100000,469,31.3860,0.1120,17
167,100000,1200,15.9170,0.0080,5
168,100000,608,27.4450,0.1800,23
169,100000,764,24.6200,0.0090,5
170,100000,423,9.7680,0.4880,18
171,100000,222,44.1960,8.8130,50
172,100000,881,11.4450,0.4850,28
173,100000,307,21.4630,11.1190,62
174,100000,439,15.6510,0.5190,22
175,100000,200,34.8410,0.1240,12
176,100000,943,10.3730,0.0040,4
177,100000,328,13.5150,0.1570,16
178,100000,202,22.7040,0.0110,4
179,100000,415,37.4970,0.1180,15
180,100000,91,66.4150,1.3300,21
181,100000,197,51.3750,0.1310,14
182,100000,657,16.7710,0.1460,16
183,100000,613,17.1680,0.0030,3
184,100000,445,17.8360,0.1360,13
185,100000,710,13.3450,0.0060,4
186,100000,686,32.7300,0.1590,27
187,100000,1567,16.5180,0.0100,2
188,100000,702,25.9830,0.1730,20
189,100000,1091,18.5740,0.0070,4
190,100000,188,29.0620,0.0010,1
191,100000,660,10.1950,0.0000,0
192,100000,301,20.1890,0.0020,2
193,100000,195,35.4630,0.0000,0
194,100000,457,38.3070,0.0010,1
195,100000,171,51.8150,0.0120,5
196,100000,300,40.1150,0.0010,1
197,100000,635,31.7180,0.0010,1
198,100000,667,28.1200,0.0000,0
199,100000,618,23.6040,0.0010,1
200,100000,291,31.4370,0.1560,14
201,100000,1104,15.0160,0.0080,4
202,100000,387,22.7090,0.1860,13
203,100000,259,41.1880,0.0080,2
204,100000,540,38.0950,0.1560,16
205,100000,125,62.5540,1.7350,27
206,100000,297,43.8820,0.1340,16
207,100000,713,27.3640,0.1870,17
