"circuit_index","phenotype_pattern","count"
1,"0000|0011|1000|1011|1100|1111",10000
2,"0000|0011|1000|1100|1111",9829
2,"0000|0011|1000|1011|1100|1111",171
3,"0000|0011|1000|1011|1101|1111",2645
3,"0000|0011|1000|1011|1100|1111",2225
3,"0000|0011|1000|1011|1101",5130
4,"0000|0011|1000|1100|1111",5268
4,"0000|1000|1100|1111",4083
4,"0000|0011|1000|1011|1100|1111",649
5,"0000|0011|1000|1011|1100|1111",2722
5,"0000|0011|1001|1101",2691
5,"0000|0011|1001|1011|1101|1111",2890
5,"0000|0011|1001|1011|1101",1165
5,"0000|0011|1000|1011|1101|1111",532
6,"0000|0011|1000|1100|1111",8196
6,"0000|1000|1100|1111",1712
6,"0000|0011|1000|1011|1100|1111",92
7,"0000|0011|1000|1011|1111",9636
7,"0000|0011|1000|1011|1100|1111",364
8,"0000|0011|1000|1011|1100|1111",266
8,"0000|1000|1100|1111",7547
8,"0000|0011|1000|1100|1111",2187
9,"0000|0011|1011|1111",9506
9,"0000|0011|1000|1011|1100|1111",406
9,"0000|0011|1000|1011|1111",88
10,"0000|0011|1000|1101",5250
10,"0000|0011|1000|1101|1111",2383
10,"0000|0011|1000|1100|1111",2164
10,"0000|0011|1000|1011|1101",100
10,"0000|0011|1000|1011|1100|1111",57
10,"0000|0011|1000|1011|1101|1111",46
11,"0000|0011|1000|1100|1111",5933
11,"0000|1000|1100|1111",4059
11,"0000|0011|1000|1011|1100|1111",8
12,"0000|0011|1000|1100|1111",1162
12,"0000|0011|1000|1101|1111",1445
12,"0000|1000|1101|1111",1111
12,"0000|1000|1101",2116
12,"0000|1000|1100|1111",885
12,"0000|0011|1000|1101",2652
12,"0000|0011|1000|1011|1101|1111",195
12,"0000|0011|1000|1011|1101",290
12,"0000|0011|1000|1011|1100|1111",144
13,"0000|0011|1101|1111",2479
13,"0000|0011|1101",3767
13,"0000|0011|1000|1100|1111",2781
13,"0000|0011|1000|1101|1111",523
13,"0000|0011|1001|1101|1111",288
13,"0000|0011|1000|1011|1101|1111",6
13,"0000|0011|1001|1101",44
13,"0000|0011|1000|1011|1100|1111",52
13,"0000|0011|1001|1011|1101|1111",40
13,"0000|0011|1001|1011|1101",20
14,"0000|0011|1001|1011|1101",3734
14,"0000|0011|1000|1011|1101",2179
14,"0000|0011|1001|1101",2514
14,"0000|0011|1000|1011|1100|1111",303
14,"0000|0011|1000|1011|1101|1111",923
14,"0000|0011|1001|1011|1101|1111",347
15,"0000|1101",1543
15,"0000|0011|1000|1100|1111",1504
15,"0000|0011|1000|1101|1111",290
15,"0000|1000|1100|1111",1140
15,"0000|0011|1001|1011|1101|1111",129
15,"0000|0011|1101",2041
15,"0000|1101|1111",1042
15,"0000|0011|1001|1101",214
15,"0000|0011|1101|1111",989
15,"0000|0011|1001|1011|1101",56
15,"0000|0011|1001|1101|1111",561
15,"0000|1000|1101|1111",202
15,"0000|1001|1101|1111",101
15,"0000|0011|1000|1011|1100|1111",157
15,"0000|0011|1000|1011|1101|1111",31
16,"0000|1000|1100|1111",3731
16,"0000|0011|1000|1100|1111",6269
17,"0000|1000|1101",941
17,"0000|0011|1000|1101",4321
17,"0000|0011|1000|1101|1111",2094
17,"0000|1000|1100|1111",392
17,"0000|0011|1000|1100|1111",1787
17,"0000|1000|1101|1111",401
17,"0000|0011|1000|1011|1101",35
17,"0000|0011|1000|1011|1100|1111",10
17,"0000|0011|1000|1011|1101|1111",19
18,"0000|1000|1100|1111",5002
18,"0000|0011|1000|1100|1111",4996
18,"0000|0011|1000|1011|1100|1111",2
19,"0000|0011|1000|1100|1111",2314
19,"0000|0011|1001|1101",3141
19,"0000|1000|1100|1111",486
19,"0000|0011|1001|1101|1111",2299
19,"0000|0011|1000|1101|1111",443
19,"0000|1001|1101|1111",514
19,"0000|1001|1101",660
19,"0000|1000|1101|1111",70
19,"0000|0011|1000|1011|1100|1111",29
19,"0000|0011|1001|1011|1101|1111",29
19,"0000|0011|1001|1011|1101",13
19,"0000|0011|1000|1011|1101|1111",2
20,"0000|0011|1000|1111",9502
20,"0000|0011|1000|1100|1111",315
20,"0000|0011|1000|1011|1111",175
20,"0000|0011|1000|1011|1100|1111",8
21,"0000|0011|1000|1011|1111",8973
21,"0000|0011|1000|1011|1101|1111",740
21,"0000|0011|1000|1011|1100|1111",79
21,"0000|0011|1000|1011|1101",208
22,"0000|0011|1000|1100|1111",187
22,"0000|1000|1111",3865
22,"0000|0011|1000|1111",5126
22,"0000|0011|1000|1011|1111",640
22,"0000|1000|1100|1111",167
22,"0000|0011|1000|1011|1100|1111",15
23,"0000|0011|1000|1011|1111",3307
23,"0000|0011|1001|1111",2175
23,"0000|0011|1001|1011|1111",3617
23,"0000|0011|1001|1101|1111",291
23,"0000|0011|1001|1011|1101|1111",387
23,"0000|0011|1001|1101",117
23,"0000|0011|1000|1011|1100|1111",79
23,"0000|0011|1000|1011|1101|1111",15
23,"0000|0011|1001|1011|1101",12
24,"0000|0011|1000|1111",7977
24,"0000|0011|1000|1100|1111",291
24,"0000|1000|1100|1111",64
24,"0000|1000|1111",1598
24,"0000|0011|1000|1011|1111",62
24,"0000|0011|1000|1011|1100|1111",8
25,"0000|0011|1000|1100|1111",2545
25,"0000|1000|1100|1111",7453
25,"0000|0011|1000|1011|1100|1111",2
26,"0000|1000|1101",3751
26,"0000|1000|1101|1111",2055
26,"0000|1000|1100|1111",1700
26,"0000|0011|1000|1101",1103
26,"0000|0011|1000|1101|1111",631
26,"0000|0011|1000|1100|1111",504
26,"0000|0011|1000|1011|1101",132
26,"0000|0011|1000|1011|1101|1111",71
26,"0000|0011|1000|1011|1100|1111",53
27,"0000|1000|1100|1111",9260
27,"0000|0011|1000|1100|1111",731
27,"0000|0011|1000|1011|1100|1111",9
28,"0000|0011|1001|1101",934
28,"0000|1001|1101",2904
28,"0000|1001|1101|1111",2101
28,"0000|1000|1100|1111",2076
28,"0000|0011|1001|1101|1111",651
28,"0000|0011|1000|1100|1111",608
28,"0000|1000|1101|1111",378
28,"0000|0011|1000|1011|1100|1111",72
28,"0000|0011|1000|1101|1111",134
28,"0000|0011|1000|1011|1101|1111",13
28,"0000|0011|1001|1011|1101",46
28,"0000|0011|1001|1011|1101|1111",83
29,"0000|1000|1100|1111",7959
29,"0000|0011|1000|1100|1111",2041
30,"0000|0011|1000|1111",2124
30,"0000|1000|1111",7288
30,"0000|0011|1000|1011|1111",248
30,"0000|1000|1100|1111",244
30,"0000|0011|1000|1100|1111",83
30,"0000|0011|1000|1011|1100|1111",13
31,"0000|0011|1111",9350
31,"0000|0011|1000|1100|1111",416
31,"0000|0011|1000|1111",88
31,"0000|0011|1011|1111",142
31,"0000|0011|1000|1011|1100|1111",4
32,"0000|0011|1011|1111",8550
32,"0000|0011|1000|1011|1111",16
32,"0000|0011|1011|1101|1111",839
32,"0000|0011|1000|1011|1101",221
32,"0000|0011|1000|1011|1101|1111",165
32,"0000|0011|1000|1011|1100|1111",117
32,"0000|0011|1011|1101",92
33,"0000|0011|1111",5104
33,"0000|1111",3814
33,"0000|0011|1011|1111",541
33,"0000|1000|1100|1111",185
33,"0000|0011|1000|1111",49
33,"0000|1000|1111",31
33,"0000|0011|1000|1100|1111",241
33,"0000|0011|1000|1011|1111",7
33,"0000|0011|1000|1011|1100|1111",28
34,"0000|0011|1011|1111",8781
34,"0000|0011|1000|1011|1101|1111",24
34,"0000|0011|1001|1011|1101|1111",870
34,"0000|0011|1000|1011|1100|1111",110
34,"0000|0011|1001|1011|1101",84
34,"0000|0011|1000|1011|1111",26
34,"0000|0011|1011|1101|1111",17
34,"0000|0011|1001|1011|1111",21
34,"0000|0011|1001|1101",67
35,"0000|0011|1111",7828
35,"0000|1111",1605
35,"0000|0011|1000|1100|1111",361
35,"0000|1000|1111",12
35,"0000|0011|1000|1111",72
35,"0000|0011|1011|1111",53
35,"0000|1000|1100|1111",65
35,"0000|0011|1000|1011|1100|1111",4
36,"0000|0011|1011|1111",9488
36,"0000|0011|1000|1011|1111",508
36,"0000|0011|1000|1011|1100|1111",4
37,"0000|1111",7058
37,"0000|0011|1011|1111",255
37,"0000|1000|1100|1111",328
37,"0000|0011|1111",2172
37,"0000|0011|1000|1100|1111",91
37,"0000|1000|1111",69
37,"0000|0011|1000|1111",17
37,"0000|0011|1000|1011|1100|1111",8
37,"0000|0011|1000|1011|1111",2
38,"0000|0011|1000|1101",3150
38,"0000|1000|1101|1111",1022
38,"0000|1000|1101",2153
38,"0000|1000|1100|1111",868
38,"0000|0011|1000|1100|1111",1342
38,"0000|0011|1000|1101|1111",1458
38,"0000|0011|1000|1011|1101",3
38,"0000|0011|1000|1011|1100|1111",2
38,"0000|0011|1000|1011|1101|1111",2
39,"0000|0011|1000|1101|1111",821
39,"0000|0011|1101",6118
39,"0000|0011|1000|1101",2076
39,"0000|0011|1101|1111",251
39,"0000|0011|1001|1101",286
39,"0000|0011|1000|1100|1111",295
39,"0000|0011|1001|1011|1101",50
39,"0000|0011|1001|1101|1111",50
39,"0000|0011|1000|1011|1101",25
39,"0000|0011|1001|1011|1101|1111",4
39,"0000|0011|1000|1011|1101|1111",17
39,"0000|0011|1000|1011|1100|1111",7
40,"0000|1001|1101|1111",37
40,"0000|1101",1563
40,"0000|0011|1101",2282
40,"0000|0011|1000|1100|1111",1711
40,"0000|1000|1100|1111",1126
40,"0000|0011|1101|1111",1565
40,"0000|1000|1101|1111",196
40,"0000|0011|1001|1101|1111",107
40,"0000|1101|1111",1093
40,"0000|0011|1000|1101|1111",312
40,"0000|0011|1001|1101",6
40,"0000|0011|1000|1011|1100|1111",1
40,"0000|0011|1001|1011|1101",1
41,"0000|0011|1000|1011|1101|1111",56
41,"0000|0011|1000|1101|1111",442
41,"0000|0011|1001|1101",719
41,"0000|0011|1101",2853
41,"0000|1001|1101",95
41,"0000|1000|1101",875
41,"0000|0011|1000|1101",1115
41,"0000|0011|1000|1011|1100|1111",19
41,"0000|0011|1000|1100|1111",177
41,"0000|1101",2550
41,"0000|0011|1001|1011|1101",176
41,"0000|0011|1000|1011|1101",126
41,"0000|1000|1101|1111",362
41,"0000|1101|1111",113
41,"0000|0011|1001|1101|1111",89
41,"0000|1000|1100|1111",113
41,"0000|0011|1001|1011|1101|1111",18
41,"0000|0011|1101|1111",81
41,"0000|1001|1101|1111",21
42,"0000|0011|1000|1101|1111",1519
42,"0000|0011|1000|1101",3322
42,"0000|0011|1000|1100|1111",1361
42,"0000|1000|1101|1111",789
42,"0000|1000|1101",2149
42,"0000|1000|1100|1111",859
42,"0000|0011|1000|1011|1101",1
43,"0000|1000|1100|1111",6310
43,"0000|0011|1000|1100|1111",3690
44,"0000|1000|1100|1111",1091
44,"0000|0011|1000|1100|1111",1067
44,"0000|1000|1101",2643
44,"0000|0011|1000|1101",2655
44,"0000|0011|1000|1101|1111",1242
44,"0000|1000|1101|1111",1299
44,"0000|0011|1000|1011|1101",3
45,"0000|0011|1101|1111",1517
45,"0000|1101|1111",1010
45,"0000|1000|1100|1111",1071
45,"0000|0011|1101",2306
45,"0000|0011|1000|1100|1111",1730
45,"0000|1101",1435
45,"0000|0011|1001|1101|1111",253
45,"0000|1000|1101|1111",185
45,"0000|0011|1001|1101",77
45,"0000|0011|1000|1101|1111",321
45,"0000|1001|1101|1111",82
45,"0000|1001|1101",12
45,"0000|0011|1000|1011|1100|1111",1
46,"0000|0011|1001|1101",5133
46,"0000|0011|1001|1101|1111",264
46,"0000|1001|1101",1090
46,"0000|0011|1000|1100|1111",273
46,"0000|1001|1101|1111",50
46,"0000|0011|1000|1101",1803
46,"0000|0011|1000|1101|1111",699
46,"0000|1000|1101",412
46,"0000|1000|1101|1111",151
46,"0000|0011|1000|1011|1100|1111",4
