circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
1,1010,0010,121,121,1.0,bistable,1
1,1010,1000,121,121,1.0,bistable,1
2,1010,0010,183,183,1.0,bistable,1
2,1010,1000,183,183,1.0,bistable,1
3,1010,0010,132,132,1.0,bistable,1
3,1010,1000,132,132,1.0,bistable,1
4,1010,0010,5000,5000,1.0,bistable,1
4,1010,1000,5000,5000,1.0,bistable,1
5,1010,0010,5000,5000,1.0,bistable,1
5,1010,1000,5000,5000,1.0,bistable,1
5,1010,1011,5000,2411,0.4822,invasion,1
5,1011,0011,6,6,1.0,bistable,1
5,1011,1001,6,6,1.0,bistable,1
6,1010,0010,170,170,1.0,bistable,1
6,1010,1000,170,170,1.0,bistable,1
7,1010,0010,241,241,1.0,bistable,1
7,1010,1000,241,241,1.0,bistable,1
8,1010,0010,228,228,1.0,bistable,1
8,1010,0000,228,221,0.9693,bistable,2
8,1010,1000,228,7,0.0307,bistable,1
9,1010,0010,16,16,1.0,bistable,1
9,1010,1000,16,16,1.0,bistable,1
10,1010,0010,197,197,1.0,bistable,1
10,1010,1000,197,197,1.0,bistable,1
11,1010,0010,156,156,1.0,bistable,1
11,1010,1000,156,156,1.0,bistable,1
12,1010,0010,197,197,1.0,bistable,1
12,1010,1000,197,197,1.0,bistable,1
13,1010,0010,258,258,1.0,bistable,1
13,1010,1000,258,258,1.0,bistable,1
13,1010,1011,258,130,0.5039,invasion,1
13,1011,0011,2,2,1.0,bistable,1
13,1011,1001,2,2,1.0,bistable,1
14,1010,0010,187,187,1.0,bistable,1
14,1010,1000,187,187,1.0,bistable,1
14,1010,1011,187,87,0.4652,invasion,1
14,1011,0011,1,1,1.0,bistable,1
14,1011,1001,1,1,1.0,bistable,1
15,1010,0010,5000,5000,1.0,bistable,1
15,1010,1000,5000,5000,1.0,bistable,1
15,1010,1011,5000,2328,0.4656,invasion,1
16,1010,0010,109,109,1.0,bistable,1
16,1010,1000,109,109,1.0,bistable,1
17,1010,0010,160,160,1.0,bistable,1
17,1010,1000,160,160,1.0,bistable,1
18,1010,0010,5000,5000,1.0,bistable,1
18,1010,1000,5000,5000,1.0,bistable,1
19,1010,0010,164,164,1.0,bistable,1
19,1010,1000,164,164,1.0,bistable,1
19,1010,1011,164,76,0.4634,invasion,1
20,1010,0010,270,270,1.0,bistable,1
20,1010,1000,270,270,1.0,bistable,1
21,1010,0010,245,245,1.0,bistable,1
21,1010,1000,245,245,1.0,bistable,1
22,1010,0010,5000,5000,1.0,bistable,1
22,1010,1000,5000,5000,1.0,bistable,1
23,1010,1011,5000,2430,0.486,invasion,1
23,1010,0010,5000,5000,1.0,bistable,1
23,1010,1000,5000,5000,1.0,bistable,1
23,1011,0011,7,7,1.0,bistable,1
23,1011,1001,7,7,1.0,bistable,1
23,1001,0001,1,1,1.0,bistable,1
24,1010,0010,5000,5000,1.0,bistable,1
24,1010,1000,5000,5000,1.0,bistable,1
25,1010,0010,4901,4901,1.0,bistable,1
25,1010,0000,4901,4745,0.9682,bistable,2
25,1010,1000,4901,156,0.0318,bistable,1
26,1010,0010,4891,4891,1.0,bistable,1
26,1010,0000,4891,4723,0.9657,bistable,2
26,1010,1000,4891,168,0.0343,bistable,1
27,1010,0010,4916,4916,1.0,bistable,1
27,1010,0000,4916,4766,0.9695,bistable,2
27,1010,1000,4916,150,0.0305,bistable,1
28,1010,0010,4895,4895,1.0,bistable,1
28,1010,0000,4895,4763,0.973,bistable,2
28,1010,1011,4895,1069,0.2184,invasion,1
28,1010,1000,4895,132,0.027,bistable,1
28,1011,0011,3,3,1.0,bistable,1
28,1011,0001,3,3,1.0,bistable,2
29,1010,0010,4900,4900,1.0,bistable,1
29,1010,0000,4900,4746,0.9686,bistable,2
29,1010,1000,4900,154,0.0314,bistable,1
30,1010,0010,179,179,1.0,bistable,1
30,1010,0000,179,174,0.9721,bistable,2
30,1010,1000,179,5,0.0279,bistable,1
31,1010,0010,14,14,1.0,bistable,1
31,1010,1000,14,13,0.9286,bistable,1
32,1010,0010,14,14,1.0,bistable,1
32,1010,1000,14,11,0.7857,bistable,1
33,1010,0010,12,12,1.0,bistable,1
33,1010,1000,12,11,0.9167,bistable,1
34,1010,0010,44,44,1.0,bistable,1
34,1010,1000,44,39,0.8864,bistable,1
34,1010,1011,44,23,0.5227,invasion,1
35,1010,0010,474,477,1.0063,bistable,1
35,1010,1000,474,427,0.9008,bistable,1
36,1010,0010,23,23,1.0,bistable,1
36,1010,1000,23,22,0.9565,bistable,1
37,1010,0010,381,381,1.0,bistable,1
37,1010,1000,381,37,0.0971,bistable,1
37,1010,0000,381,322,0.8451,bistable,2
38,1010,0010,5000,5000,1.0,bistable,1
38,1010,1000,5000,5000,1.0,bistable,1
39,1010,1011,209,86,0.4115,invasion,1
39,1010,0010,209,209,1.0,bistable,1
39,1010,1000,209,209,1.0,bistable,1
40,1010,0010,250,250,1.0,bistable,1
40,1010,1000,250,250,1.0,bistable,1
40,1010,1011,250,128,0.512,invasion,1
41,1010,1011,5000,2419,0.4838,invasion,1
41,1010,0010,5000,5000,1.0,bistable,1
41,1010,1000,5000,5000,1.0,bistable,1
41,1011,0011,1,1,1.0,bistable,1
41,1011,1001,1,1,1.0,bistable,1
41,1001,0001,1,1,1.0,bistable,1
42,1010,0010,5000,5000,1.0,bistable,1
42,1010,1000,5000,5000,1.0,bistable,1
43,1010,0010,5000,5000,1.0,bistable,1
43,1010,1000,5000,5000,1.0,bistable,1
44,1010,0010,5000,5000,1.0,bistable,1
44,1010,1000,5000,5000,1.0,bistable,1
45,1010,0010,5000,5000,1.0,bistable,1
45,1010,1000,5000,5000,1.0,bistable,1
45,1010,1011,5000,2450,0.49,invasion,1
45,1011,0011,9,9,1.0,bistable,1
45,1011,1001,9,9,1.0,bistable,1
46,1010,0010,5000,5000,1.0,bistable,1
46,1010,1011,5000,2428,0.4856,invasion,1
46,1010,1000,5000,5000,1.0,bistable,1
46,1011,0011,4,4,1.0,bistable,1
46,1011,1001,4,4,1.0,bistable,1
47,1010,0010,5000,5000,1.0,bistable,1
