circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
5,1000,1001,98,36,0.3673,invasion,1
5,1010,1011,98,45,0.4592,invasion,1
8,1010,0010,228,221,0.9693,bistable,1
9,1000,1010,215,195,0.907,invasion,1
13,1010,1011,258,130,0.5039,invasion,1
13,1000,1001,258,104,0.4031,invasion,1
14,1000,1001,187,68,0.3636,invasion,1
14,1010,1011,187,87,0.4652,invasion,1
15,1000,1001,98,30,0.3061,invasion,1
15,1010,1011,98,42,0.4286,invasion,1
19,1010,1011,164,76,0.4634,invasion,1
19,1000,1001,164,55,0.3354,invasion,1
23,1000,1001,91,32,0.3516,invasion,1
23,1010,1011,91,44,0.4835,invasion,1
25,1010,0010,11,11,1.0,bistable,1
26,1010,0010,89,87,0.9775,bistable,1
28,1010,0010,163,155,0.9509,bistable,1
28,1000,1001,166,61,0.3675,invasion,1
28,1010,1011,163,29,0.1779,invasion,1
29,1010,0010,83,83,1.0,bistable,1
30,1010,0010,179,174,0.9721,bistable,1
31,1000,1010,169,152,0.8994,invasion,1
32,1000,1010,167,152,0.9102,invasion,1
33,1000,1010,160,142,0.8875,invasion,1
34,1000,1010,350,297,0.8486,invasion,1
34,1000,1001,350,140,0.4,invasion,1
34,1010,1011,44,23,0.5227,invasion,1
35,1000,1010,64,55,0.8594,invasion,1
36,1000,1010,185,157,0.8486,invasion,1
37,1000,1010,82,75,0.9146,invasion,1
37,1010,0010,5,2,0.4,bistable,1
39,1000,1001,209,69,0.3301,invasion,1
39,1010,1011,209,86,0.4115,invasion,1
40,1010,1011,250,128,0.512,invasion,1
40,1000,1001,250,99,0.396,invasion,1
41,1000,1001,85,36,0.4235,invasion,1
41,1010,1011,85,41,0.4824,invasion,1
45,1000,1001,93,29,0.3118,invasion,1
45,1010,1011,93,38,0.4086,invasion,1
46,1000,1001,93,37,0.3978,invasion,1
46,1010,1011,93,44,0.4731,invasion,1
47,1000,1001,93,36,0.3871,invasion,1
47,1010,1011,93,42,0.4516,invasion,1
51,1010,1011,92,46,0.5,invasion,1
51,1000,1001,92,39,0.4239,invasion,1
52,1000,1001,92,30,0.3261,invasion,1
52,1010,1011,92,40,0.4348,invasion,1
53,1000,1001,92,45,0.4891,invasion,1
53,1010,1011,92,46,0.5,invasion,1
57,1000,1001,120,45,0.375,invasion,1
57,1010,1011,120,60,0.5,invasion,1
58,1010,0010,234,228,0.9744,bistable,1
60,1010,0010,120,116,0.9667,bistable,1
61,1010,0010,124,121,0.9758,bistable,1
61,1000,1001,124,41,0.3306,invasion,1
61,1010,1011,124,22,0.1774,invasion,1
62,1000,1001,123,42,0.3415,invasion,1
62,1010,0010,123,119,0.9675,bistable,1
62,1010,1011,123,27,0.2195,invasion,1
63,1010,0010,121,118,0.9752,bistable,1
63,1010,1011,121,27,0.2231,invasion,1
63,1000,1001,124,43,0.3468,invasion,1
64,1010,0010,4903,4757,0.9702,bistable,1
65,1010,0010,124,121,0.9758,bistable,1
67,1000,1001,123,47,0.3821,invasion,1
67,1010,0010,122,121,0.9918,bistable,1
67,1010,1011,122,23,0.1885,invasion,1
68,1010,0010,196,186,0.949,bistable,1
69,1010,0010,147,142,0.966,bistable,1
70,1010,0010,80,77,0.9625,bistable,1
71,1000,1001,166,58,0.3494,invasion,1
71,1010,0010,163,157,0.9632,bistable,1
71,1010,1011,163,30,0.184,invasion,1
72,1010,0010,196,190,0.9694,bistable,1
73,1000,1010,87,80,0.9195,invasion,1
74,1000,1010,220,199,0.9045,invasion,1
75,1000,1010,248,223,0.8992,invasion,1
76,1000,1010,245,224,0.9143,invasion,1
76,1000,1001,245,83,0.3388,invasion,1
76,1010,1011,16,4,0.25,invasion,1
77,1000,1010,242,221,0.9132,invasion,1
77,1000,1001,242,93,0.3843,invasion,1
77,1010,1011,16,8,0.5,invasion,1
78,1000,1010,263,237,0.9011,invasion,1
78,1000,1001,263,95,0.3612,invasion,1
78,1010,1011,21,9,0.4286,invasion,1
79,1000,1010,266,231,0.8684,invasion,1
80,1000,1010,499,434,0.8697,invasion,1
81,1000,1010,209,182,0.8708,invasion,1
82,1000,1010,184,159,0.8641,invasion,1
82,1000,1001,184,70,0.3804,invasion,1
82,1010,1011,23,7,0.3043,invasion,1
83,1000,1010,179,158,0.8827,invasion,1
84,1000,1010,118,102,0.8644,invasion,1
85,1000,1010,118,102,0.8644,invasion,1
86,1000,1010,80,68,0.85,invasion,1
86,1000,1001,80,40,0.5,invasion,1
86,1010,1011,11,6,0.5455,invasion,1
87,1000,1010,80,68,0.85,invasion,1
88,1000,1010,79,69,0.8734,invasion,1
88,1010,0010,4,4,1.0,bistable,1
89,1000,1010,80,71,0.8875,invasion,1
89,1010,0010,7,7,1.0,bistable,1
90,1000,1010,196,173,0.8827,invasion,1
90,1010,0010,17,16,0.9412,bistable,1
91,1000,1010,157,139,0.8854,invasion,1
91,1000,1001,157,52,0.3312,invasion,1
91,1010,1011,9,2,0.2222,invasion,1
91,1010,0010,9,8,0.8889,bistable,1
92,1000,1010,156,138,0.8846,invasion,1
92,1010,0010,16,10,0.625,bistable,1
93,1000,1010,157,139,0.8854,invasion,1
93,1010,0010,13,10,0.7692,bistable,1
94,1000,1001,155,61,0.3935,invasion,1
94,1010,1011,155,71,0.4581,invasion,1
96,1000,1001,154,53,0.3442,invasion,1
96,1010,1011,154,66,0.4286,invasion,1
97,1000,1001,153,51,0.3333,invasion,1
97,1010,1011,153,65,0.4248,invasion,1
98,1000,1001,239,87,0.364,invasion,1
98,1010,1011,239,110,0.4603,invasion,1
100,1010,1011,140,62,0.4429,invasion,1
100,1000,1001,140,49,0.35,invasion,1
101,1000,1001,135,52,0.3852,invasion,1
101,1010,1011,135,63,0.4667,invasion,1
102,1000,1001,135,49,0.363,invasion,1
102,1010,1011,135,62,0.4593,invasion,1
106,1000,1001,84,42,0.5,invasion,1
106,1010,1011,84,51,0.6071,invasion,1
107,1000,1001,127,49,0.3858,invasion,1
107,1010,1011,127,60,0.4724,invasion,1
108,1010,1011,126,60,0.4762,invasion,1
108,1000,1001,126,49,0.3889,invasion,1
109,1010,0010,96,93,0.9688,bistable,1
110,1010,0010,95,91,0.9579,bistable,1
110,1000,1001,96,34,0.3542,invasion,1
110,1010,1011,95,20,0.2105,invasion,1
111,1010,0010,94,92,0.9787,bistable,1
