circuit,n_edges,active_edges,pct_pure_0000_1000_1100_1111,pct_plus_0011,pct_total
1,0,∅,0.0,0.0,0.0
2,1,B→M,0.0,98.3,98.3
3,1,M→B,0.0,0.0,0.0
4,1,B→F,40.8,52.7,93.5
5,1,F→B,0.0,0.0,0.0
6,1,T→M,17.1,82.0,99.1
7,1,M→T,0.0,0.0,0.0
8,1,T→F,75.5,21.9,97.3
9,1,F→T,0.0,0.0,0.0
10,2,M→B+B→M,0.0,21.6,21.6
11,2,B→F+B→M,40.6,59.3,99.9
12,2,B→F+M→B,8.8,11.6,20.5
13,2,F→B+B→M,0.0,27.8,27.8
14,2,F→B+M→B,0.0,0.0,0.0
15,2,F→B+B→F,11.4,15.0,26.4
16,2,T→M+B→M,37.3,62.7,100.0
17,2,T→M+M→B,3.9,17.9,21.8
18,2,T→M+B→F,50.0,50.0,100.0
19,2,T→M+F→B,4.9,23.1,28.0
20,2,M→T+B→M,0.0,3.1,3.1
21,2,M→T+M→B,0.0,0.0,0.0
22,2,M→T+B→F,1.7,1.9,3.5
23,2,M→T+F→B,0.0,0.0,0.0
24,2,M→T+T→M,0.6,2.9,3.6
25,2,T→F+B→M,74.5,25.4,100.0
26,2,T→F+M→B,17.0,5.0,22.0
27,2,T→F+B→F,92.6,7.3,99.9
28,2,T→F+F→B,20.8,6.1,26.8
29,2,T→F+T→M,79.6,20.4,100.0
30,2,T→F+M→T,2.4,0.8,3.3
31,2,F→T+B→M,0.0,4.2,4.2
32,2,F→T+M→B,0.0,0.0,0.0
33,2,F→T+B→F,1.8,2.4,4.3
34,2,F→T+F→B,0.0,0.0,0.0
35,2,F→T+T→M,0.7,3.6,4.3
36,2,F→T+M→T,0.0,0.0,0.0
37,2,F→T+T→F,3.3,0.9,4.2
38,3,B→F+M→B+B→M,8.7,13.4,22.1
39,3,F→B+M→B+B→M,0.0,2.9,2.9
40,3,F→B+B→F+B→M,11.3,17.1,28.4
41,3,F→B+B→F+M→B,1.1,1.8,2.9
42,3,T→M+M→B+B→M,8.6,13.6,22.2
43,3,T→M+B→F+B→M,63.1,36.9,100.0
44,3,T→M+B→F+M→B,10.9,10.7,21.6
45,3,T→M+F→B+B→M,10.7,17.3,28.0
46,3,T→M+F→B+M→B,0.5,2.7,3.2
47,3,T→M+F→B+B→F,13.8,13.7,27.5
48,3,M→T+M→B+B→M,0.0,0.7,0.7
49,3,M→T+B→F+B→M,1.5,2.0,3.5
50,3,M→T+B→F+M→B,0.4,0.4,0.7
51,3,M→T+F→B+B→M,0.0,0.9,0.9
52,3,M→T+F→B+M→B,0.0,0.0,0.0
53,3,M→T+F→B+B→F,0.4,0.6,1.0
54,3,M→T+T→M+B→M,1.5,2.1,3.6
55,3,M→T+T→M+M→B,0.1,0.8,0.8
56,3,M→T+T→M+B→F,1.7,1.7,3.4
57,3,M→T+T→M+F→B,0.2,0.8,1.0
58,3,T→F+M→B+B→M,16.9,5.5,22.3
59,3,T→F+B→F+B→M,92.5,7.4,100.0
60,3,T→F+B→F+M→B,20.5,1.8,22.2
61,3,T→F+F→B+B→M,21.1,6.6,27.7
62,3,T→F+F→B+M→B,2.5,0.7,3.2
63,3,T→F+F→B+B→F,25.8,2.2,28.0
64,3,T→F+T→M+B→M,83.8,16.2,100.0
65,3,T→F+T→M+M→B,17.4,4.8,22.1
66,3,T→F+T→M+B→F,93.9,6.1,100.0
67,3,T→F+T→M+F→B,22.2,5.8,28.0
68,3,T→F+M→T+B→M,2.4,0.8,3.2
69,3,T→F+M→T+M→B,0.6,0.1,0.7
70,3,T→F+M→T+B→F,3.3,0.3,3.6
71,3,T→F+M→T+F→B,0.7,0.2,0.9
72,3,T→F+M→T+T→M,2.7,0.8,3.4
73,3,F→T+M→B+B→M,0.0,0.8,0.8
74,3,F→T+B→F+B→M,1.8,2.6,4.5
75,3,F→T+B→F+M→B,0.5,0.6,1.1
76,3,F→T+F→B+B→M,0.0,1.2,1.2
77,3,F→T+F→B+M→B,0.0,0.0,0.0
78,3,F→T+F→B+B→F,0.4,0.7,1.1
79,3,F→T+T→M+B→M,1.7,2.7,4.4
80,3,F→T+T→M+M→B,0.1,0.8,0.9
81,3,F→T+T→M+B→F,2.2,2.2,4.5
82,3,F→T+T→M+F→B,0.2,1.0,1.2
83,3,F→T+M→T+B→M,0.0,0.1,0.1
84,3,F→T+M→T+M→B,0.0,0.0,0.0
85,3,F→T+M→T+B→F,0.0,0.0,0.0
86,3,F→T+M→T+F→B,0.0,0.0,0.0
87,3,F→T+M→T+T→M,0.0,0.1,0.1
88,3,F→T+T→F+B→M,3.7,1.1,4.8
89,3,F→T+T→F+M→B,0.7,0.2,0.9
90,3,F→T+T→F+B→F,4.0,0.2,4.2
91,3,F→T+T→F+F→B,0.9,0.4,1.2
92,3,F→T+T→F+T→M,2.8,0.8,3.6
93,3,F→T+T→F+M→T,0.1,0.0,0.1
94,4,F→B+B→F+M→B+B→M,1.2,1.8,3.1
95,4,T→M+B→F+M→B+B→M,14.0,8.1,22.1
96,4,T→M+F→B+M→B+B→M,1.2,1.9,3.1
97,4,T→M+F→B+B→F+B→M,17.4,10.1,27.5
98,4,T→M+F→B+B→F+M→B,1.8,1.4,3.2
99,4,M→T+B→F+M→B+B→M,0.3,0.5,0.8
100,4,M→T+F→B+M→B+B→M,0.0,0.1,0.1
101,4,M→T+F→B+B→F+B→M,0.4,0.5,0.8
102,4,M→T+F→B+B→F+M→B,0.0,0.0,0.1
103,4,M→T+T→M+M→B+B→M,0.3,0.5,0.8
104,4,M→T+T→M+B→F+B→M,2.0,1.3,3.3
105,4,M→T+T→M+B→F+M→B,0.3,0.2,0.6
106,4,M→T+T→M+F→B+B→M,0.4,0.7,1.1
107,4,M→T+T→M+F→B+M→B,0.0,0.1,0.1
108,4,M→T+T→M+F→B+B→F,0.5,0.5,1.0
109,4,T→F+B→F+M→B+B→M,20.3,1.8,22.1
110,4,T→F+F→B+M→B+B→M,2.3,0.8,3.1
111,4,T→F+F→B+B→F+B→M,26.8,2.1,28.9
112,4,T→F+F→B+B→F+M→B,2.9,0.2,3.1
113,4,T→F+T→M+M→B+B→M,18.7,3.3,22.0
114,4,T→F+T→M+B→F+B→M,95.6,4.4,100.0
115,4,T→F+T→M+B→F+M→B,21.2,1.3,22.6
116,4,T→F+T→M+F→B+B→M,23.5,4.2,27.8
117,4,T→F+T→M+F→B+M→B,2.5,0.6,3.1
118,4,T→F+T→M+F→B+B→F,26.4,1.6,28.0
119,4,T→F+M→T+M→B+B→M,0.5,0.1,0.7
120,4,T→F+M→T+B→F+B→M,3.4,0.3,3.7
121,4,T→F+M→T+B→F+M→B,0.8,0.1,0.9
122,4,T→F+M→T+F→B+B→M,0.6,0.2,0.8
123,4,T→F+M→T+F→B+M→B,0.1,0.0,0.1
124,4,T→F+M→T+F→B+B→F,1.0,0.0,1.0
125,4,T→F+M→T+T→M+B→M,2.9,0.5,3.4
126,4,T→F+M→T+T→M+M→B,0.7,0.1,0.8
127,4,T→F+M→T+T→M+B→F,3.3,0.2,3.5
128,4,T→F+M→T+T→M+F→B,0.9,0.1,1.0
129,4,F→T+B→F+M→B+B→M,0.4,0.6,0.9
130,4,F→T+F→B+M→B+B→M,0.0,0.1,0.1
131,4,F→T+F→B+B→F+B→M,0.5,0.8,1.3
132,4,F→T+F→B+B→F+M→B,0.0,0.1,0.1
133,4,F→T+T→M+M→B+B→M,0.3,0.6,0.9
134,4,F→T+T→M+B→F+B→M,2.6,1.5,4.2
135,4,F→T+T→M+B→F+M→B,0.6,0.4,1.0
